               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.097928,            0.028011,                   0,              0.0033,             0.86842,            0.085289,             0.02531,            0.070333,             0.01799,                   0,            0.070476,           0.0032804,           0.0032804
                   1,            0.071803,            0.021955,                   0,             0.75761,             0.45614,             0.62953,             0.28039,            0.067832,            0.012442,                   0,            0.040463,           0.0066007,           0.0066007
                   2,            0.063898,            0.020293,                   0,             0.94711,             0.61404,             0.78989,             0.21132,            0.055879,            0.012216,                   0,            0.010437,           0.0099077,           0.0099077
                   3,            0.056451,            0.018715,                   0,             0.76529,             0.68647,             0.78293,             0.28682,            0.050256,             0.01072,                   0,           0.0099406,           0.0099406,           0.0099406
                   4,            0.048614,            0.017583,                   0,             0.41552,             0.82456,              0.4536,             0.14207,            0.058798,           0.0092094,                   0,           0.0099406,           0.0099406,           0.0099406
                   5,            0.045554,            0.015552,                   0,             0.90169,             0.86842,             0.89356,              0.4464,            0.041722,           0.0081123,                   0,           0.0099208,           0.0099208,           0.0099208
                   6,             0.04202,             0.01277,                   0,             0.98681,             0.85965,              0.9172,             0.55467,            0.036784,           0.0071449,                   0,            0.009901,            0.009901,            0.009901
                   7,             0.03887,            0.011788,                   0,             0.81788,             0.78947,             0.84722,             0.39286,            0.036603,           0.0064408,                   0,           0.0098812,           0.0098812,           0.0098812
                   8,            0.036712,           0.0099507,                   0,             0.84785,             0.89474,              0.9093,              0.6336,            0.028768,           0.0062186,                   0,           0.0098614,           0.0098614,           0.0098614
                   9,             0.03499,           0.0095292,                   0,             0.99037,             0.90167,             0.94736,             0.54864,            0.030645,           0.0057193,                   0,           0.0098416,           0.0098416,           0.0098416
                  10,            0.034375,           0.0087209,                   0,             0.98993,             0.89474,             0.94286,             0.57432,            0.029263,           0.0054776,                   0,           0.0098218,           0.0098218,           0.0098218
